person_id,runtime_cohort,leg_mode,planned_origin_type,planned_destination_type,planned_departure_time,route_distance,realized_departure_time,elapsed_to_48h_seconds,last_event_before_stuck,last_event_time,last_link_id,last_car_movement,last_car_movement_time,last_car_movement_link,pt_reached_stop,pt_boarded,pt_left_vehicle,pt_on_vehicle_at_cutoff,waiting_stop,destination_stop,transit_vehicle,transit_line,transit_route,already_stuck_at_43h,root_cause
"6529307",regional_background,pt,"other","home",59388.000,4550.390,65778.000,107022.000,waitingForPt,65778.000,"139301",<none>,,"",true,false,false,false,"139301","139312.3","","","",true,PT_NEVER_BOARDED
"6538305",regional_background,pt,"other","home",66631.000,4025.234,71600.000,101200.000,waitingForPt,71600.000,"101754",<none>,,"",true,false,false,false,"101754","137022","","","",true,PT_NEVER_BOARDED
"6541523",regional_background,pt,"other","home",77326.000,1672.533,86089.000,86711.000,waitingForPt,86089.000,"174075.1",<none>,,"",true,false,false,false,"174075.1","104300.4","","","",true,PT_NEVER_BOARDED
"6548088",regional_background,pt,"other","home",57908.000,6941.558,65699.000,107101.000,waitingForPt,65699.000,"136532",<none>,,"",true,false,false,false,"136532","104305.1","","","",true,PT_NEVER_BOARDED
"657039",regional_background,pt,"education","home",38520.000,5195.880,63673.000,109127.000,waitingForPt,63673.000,"9600",<none>,,"",true,true,true,false,"9600","9565.1","tr_3305","XXX---162460_109","XXX---162460_109_30",true,PT_BOARDED_NOT_ARRIVED
"6574892",regional_background,pt,"shopping","home",60460.000,4279.805,62739.000,110061.000,waitingForPt,62739.000,"68228.1",<none>,,"",true,false,false,false,"68228.1","66808","","","",true,PT_NEVER_BOARDED
"6584348",regional_background,car,"other","home",51659.000,42583.904,94842.000,77958.000,entered link,117736.000,"453133",entered link,117736.000,"453133",false,false,false,false,"","","","","",true,CAR_NO_PROGRESS_OR_NETWORK_CLUSTER
"65876",munich_resident,car,"work","home",58733.000,17014.141,58733.000,114067.000,entered link,121419.000,"419626",entered link,121419.000,"419626",false,false,false,false,"","","","","",true,CAR_NO_PROGRESS_OR_NETWORK_CLUSTER
"6604165",regional_background,pt,"other","home",67530.000,7911.679,76986.000,95814.000,waitingForPt,76986.000,"136827",<none>,,"",true,false,false,false,"136827","104585","","","",true,PT_NEVER_BOARDED
"6614914",regional_background,pt,"other","home",6531.000,5634.478,26962.000,145838.000,waitingForPt,26962.000,"106483",<none>,,"",true,false,false,false,"106483","106214","","","",true,PT_NEVER_BOARDED
